Sequence,Architecture,AbsDiff,AbsRel,SqRel,aone,atwo,athree
Freiburg2 xyz,pretrained,0.52651675,0.382889003,0.516955337,0.472145984,0.61374054,0.695956552
Freiburg2 xyz,gt,0.499675512,0.336847742,0.505111068,0.562479547,0.670598638,0.71301052
Freiburg2 xyz,scsfm,0.515568498,0.394145969,0.529805079,0.455777222,0.619617677,0.696295619
freiburg2_xyz,slam,0.487664771,0.356034788,0.484445041,0.508150569,0.680070013,0.703356671
Freiburg2 pioneer slam,pretrained,0.47323454,0.262505239,0.678945735,0.697850043,0.765427929,0.784494942
Freiburg2 pioneer slam,gt,0.301058754,0.141680691,0.137338765,0.772118974,0.848315239,0.862209022
Freiburg2 pioneer slam,scsfm,0.578059042,0.329647221,1.006060413,0.696379012,0.753071111,0.777046114
Freiburg2 pioneer slam,slam,0.493630543,0.329029959,0.369428548,0.47118707,0.683238667,0.749605095
Freiburg1 desk,pretrained,0.515856057,0.335981587,0.384411585,0.447963336,0.675866097,0.750127435
Freiburg1 desk,gt,0.426051497,0.255734685,0.289597085,0.610809457,0.737725747,0.778918326
Freiburg1 desk,scsfm,0.461458281,0.29434,0.343219081,0.552127117,0.702564508,0.756906855
Freiburg1 desk,slam,0.495081353,0.278555298,0.77252197,0.697296268,0.761972147,0.782850063
